nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Vidanta,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/1114,1914000000.0,58.0,2,3,Inmediata - 2024,No info,1,No info
Vidanta,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/1114,19140000000.0,58.0,2,3,Inmediata - 2024,No info,1,No info
Ferratore,Apartamentos,La Estrella,La Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-tablaza/proyecto/1412,212000000.0,50.0,2,2,No info,No info,1,No info
Ferratore,Apartamentos,La Estrella,La Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-tablaza/proyecto/1412,2120000000.0,50.0,2,2,No info,No info,1,No info
Fontanar,Apartamentos,Caldas,V. Primavera,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-primavera/proyecto/1429,218000000.0,50.0,2,2,2026,No info,1,No info
Fontanar,Apartamentos,Caldas,V. Primavera,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-primavera/proyecto/1429,2180000000.0,51.0,2,2,2026,No info,1,No info
Bantué,Apartamentos,La Estrella,Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-aldea/proyecto/1341,354900000.0,54.0,2,2,No info,No info,No info,No info
Bantué,Apartamentos,La Estrella,Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-aldea/proyecto/1341,3549000000.0,69.0,2,3,No info,No info,No info,No info
Bantué,Apartamentos,La Estrella,Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-aldea/proyecto/1341,35490000000.0,75.0,2,3,No info,No info,No info,No info
Bantué,Apartamentos,La Estrella,Aldea,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-aldea/proyecto/1341,354900000000.0,75.0,2,3,No info,No info,No info,No info
Herbario,Apartamentos,Itagüí,Sector Reservas,https://www.informeinmobiliario.com/apartamentos-venta-itagui-sector-reservas/proyecto/1037,359000000.0,57.0,2,2,2024 - 2025 - 2026,No info,No info,No info
Herbario,Apartamentos,Itagüí,Sector Reservas,https://www.informeinmobiliario.com/apartamentos-venta-itagui-sector-reservas/proyecto/1037,3590000000.0,60.0,2,2,2024 - 2025 - 2026,No info,No info,No info
Colina De Alcaravanes,Apartamentos,Marinilla,Alcaravanes,https://www.informeinmobiliario.com/apartamentos-venta-marinilla-alcaravanes/proyecto/757,361357000.0,55.0,2,3,2024,1,No info,No info
Colina De Alcaravanes,Apartamentos,Marinilla,Alcaravanes,https://www.informeinmobiliario.com/apartamentos-venta-marinilla-alcaravanes/proyecto/757,3613570000.0,55.0,2,3,2024,1,No info,No info
Distrito Plaza,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/1084,332400000.0,56.0,2,2,2025 - 2026,No info,No info,No info
Distrito Plaza,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/1084,3324000000.0,62.0,2,2,2025 - 2026,No info,No info,No info
Distrito Plaza,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/1084,33240000000.0,76.0,2,3,2025 - 2026,No info,No info,No info
Distrito Plaza,Apartamentos,Bello,Fabricato,https://www.informeinmobiliario.com/apartamentos-venta-bello-fabricato/proyecto/1084,332400000000.0,76.0,2,3,2025 - 2026,No info,No info,No info
Selvatica,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/920,307296290.0,52.0,2,2,2025,1,No info,No info
Selvatica,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/920,3072962900.0,54.0,2,2,2025,1,No info,No info
Selvatica,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/920,30729629000.0,62.0,2,3,2025,1,No info,No info
Selvatica,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/920,307296290000.0,72.0,2,3,2025,1,No info,No info
Selvatica,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/920,3072962900000.0,72.0,2,3,2025,1,No info,No info
Maple,Apartamentos,Risaralda,Dosquebradas,https://www.informeinmobiliario.com/apartamentos-venta-risaralda-dosquebradas/proyecto/1508,225000000.0,53.0,2,3,2025,1,No info,No info
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,284235000.0,59.0,2,3,2023,1,1,No info
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,293500000.0,62.0,2,3,2023,1,1,No info
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,311154000.0,59.0,2,3,2024,1,1,No info
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,321400000.0,62.0,2,3,2024,1,1,No info
